ds,yhat,yhat_lower,yhat_upper
2021-10-02,49376.07012202077,44999.235448599,53926.41652002405
2021-10-03,49640.043442045775,45515.467409283294,53688.624566073406
2021-10-04,49926.721842897496,45616.31529112768,54237.235984632774
2021-10-05,50242.67743178279,46097.06757661123,54439.47272350323
2021-10-06,50658.84260676729,46495.53508968607,54774.53949787545
2021-10-07,50881.99822562183,46794.24707420645,54911.08346385696
2021-10-08,51263.04240229329,47255.36952582105,55783.60116653806
2021-10-09,51658.68936780321,47764.653800307104,55979.217241930404
2021-10-10,52066.11377683745,48041.38386593484,56349.623284087065
2021-10-11,52492.26788630138,48121.80914829117,57034.0423068323
2021-10-12,52941.35146914947,48833.98552263712,57119.96762355885
2021-10-13,53481.93888333247,48750.10228314557,57727.256343390756
2021-10-14,53818.528372189794,49526.51723793239,58091.69293384683
2021-10-15,54299.87149198962,49972.47983087362,58524.3419027457
2021-10-16,54780.730333530475,50343.72671731374,58864.52880862154
2021-10-17,54961.53267629088,50360.70096192316,59325.46533013194
2021-10-18,55142.868429430055,50534.36811207753,59582.721145966476
2021-10-19,55327.87059767788,51046.18814707715,59714.72706980533
2021-10-20,55584.41901664263,51193.3632359446,59806.91727853019
2021-10-21,55616.71329283572,51462.3511097632,59541.5072420684
2021-10-22,55773.61554627504,51631.833448192774,60167.5981700907
2021-10-23,55910.41010373267,51861.31998648988,59941.47042633547
2021-10-24,56023.493586172415,51885.35914628923,60357.72839551577
2021-10-25,56119.721291917194,51503.865581529135,60345.7787058476
2021-10-26,56203.88867731339,51895.01866532324,60426.769992664114
2021-10-27,56345.851793460715,52019.191856968835,60932.26425144345
2021-10-28,56252.05171667719,51920.87870734264,60744.457802539306
2021-10-29,56273.80135956825,51829.68041678172,60645.84881109841
2021-10-30,56268.98334183878,51916.89872891033,60796.34119106402
2021-10-31,56236.67408156829,52099.30461216887,60566.394028716786
2021-11-01,56186.42186265976,51899.22783730098,60425.70778834367
2021-11-02,56125.65961796996,51934.9646272447,60446.03324512663
2021-11-03,56126.7582513683,52170.75808478481,60315.970678554804
2021-11-04,55898.487470198226,51460.95121089965,60026.05977894367
2021-11-05,55794.24436037595,51279.809609401294,60223.9727263506
2021-11-06,55673.70008486269,51534.06146809157,60009.74971062328
2021-11-07,55537.38137228762,51312.41847628319,59785.64186068403
2021-11-08,55395.91581579302,50973.38313304024,59936.375169278836
2021-11-09,55257.42270457995,50916.44914654159,59303.53822043093
2021-11-10,55194.55588155984,50725.9759442573,59394.82200312293
2021-11-11,54915.96593335752,50661.139368580436,59180.14268533102
2021-11-12,54774.541931548854,50762.57912846156,59256.43523933939
2021-11-13,54629.08274190837,50471.001393847415,59162.20035148574
2021-11-14,54478.91386176325,50068.29066838838,58934.68618869797
2021-11-15,54333.17777430123,50070.92041976227,58454.17306841701
2021-11-16,54198.27821454742,50077.40795671264,58512.31034383222
2021-11-17,54144.98325318802,50000.96690748566,58452.27845974589
2021-11-18,53879.95270291794,49623.23086359784,58119.312798572464
2021-11-19,53754.048102250475,49525.49576101088,58495.582910551726
2021-11-20,53624.07322445477,49185.55240167395,57816.735069846975
2021-11-21,53487.45895838722,49284.94149763883,57462.75096260221
2021-11-22,53351.61845527755,49329.04495583224,57608.50492375751
2021-11-23,53221.450922827746,48768.15690262777,57559.95498999502
2021-11-24,53166.497101842266,48819.38300430226,57354.734144074886
2021-11-25,52892.51025893533,48682.363986424745,56924.24546357601
2021-11-26,52749.79953088436,48486.13979719469,57210.48809892847
2021-11-27,52594.99244572882,48239.04261393845,57084.07489225497
2021-11-28,52425.72967824935,47869.07823603487,56882.78277483489
2021-11-29,52250.01750525887,47748.948137421095,56337.73145994961
2021-11-30,52073.71629060116,47767.44757222849,56372.67991266342
2021-12-01,51967.66836640718,47590.754214543136,56445.936918275846
2021-12-02,51613.70287348974,47042.49813802915,56033.32673939863
2021-12-03,51389.510360294495,46926.3787651124,55452.85318790319
2021-12-04,51153.76557576373,47063.610870343575,55808.539943816104
2021-12-05,50906.28299958161,46597.445128694795,55307.07276293604
2021-12-06,50657.29762238139,46495.184318002044,55104.58335854298
2021-12-07,50414.878419639404,45874.29739763543,54751.34205559839
2021-12-08,50251.98015159388,46128.03100586992,54727.719548546724
2021-12-09,49877.90036211451,45299.054279845455,53996.62106872496
2021-12-10,49646.501808341796,45470.61658789987,53979.496256097984
2021-12-11,49417.85080221117,45225.23567107636,53741.926409833526
2021-12-12,49192.78833148245,44925.72936972324,53419.29041242836
2021-12-13,48982.16327796719,44482.371166582896,53163.56557967242
2021-12-14,48794.20984313538,44601.953560033566,53194.98674341117
2021-12-15,48701.57614244063,44238.749402143694,52989.39048237799
2021-12-16,48412.77181018105,44033.62259281876,52864.782109189706
2021-12-17,48280.39542183049,43744.0703450774,52724.57970596301
2021-12-18,48162.79237388949,43740.815738468256,52697.27416008042
2021-12-19,48058.659820948924,43818.01870021578,52320.699305351045
2021-12-20,47976.32729458828,43739.75539764381,52286.726666732946
2021-12-21,47921.19401016964,43731.802002227196,52455.51057614702
2021-12-22,47962.82833391491,43401.79151980796,52512.66640430293
2021-12-23,47806.49541598347,43252.40535653891,52120.47298144646
2021-12-24,47801.471661515614,43574.36604632161,52161.13915831506
2021-12-25,47802.794303304654,43432.2965795027,52119.951154995346
2021-12-26,47805.96012314761,43395.89781587862,52339.61159001115
2021-12-27,47816.299288671165,43598.61651797448,52205.69136011949
2021-12-28,47836.50262364923,43884.034060320955,52063.607849356595
2021-12-29,47933.805142671146,43836.98060291404,52329.3861685743
2021-12-30,47811.58933723382,43697.51426883466,52455.76256268714
2021-12-31,47817.76456324809,43552.67055482879,52178.34022404653
2022-01-01,47806.568737348854,44033.12172701204,52096.505585222934
2022-01-02,47773.30466079477,43269.09731082856,51967.376088074416
2022-01-03,47723.7355911899,43548.18240583868,52525.40535207971
2022-01-04,47661.61745865488,43261.48924137541,51663.59227402123
2022-01-05,47655.870093024496,43474.92646114336,52049.2746498641
2022-01-06,47412.15096129304,43109.37285943739,51782.64172199292
2022-01-07,47281.188259950635,42814.26228573241,51556.99247488531
2022-01-08,47120.52053926438,42567.07207962388,51553.63953341282
2022-01-09,46929.15660202764,42617.481755393215,51237.910313891836
2022-01-10,46716.88214079053,42522.834368748474,50835.94407955453
2022-01-11,46491.69272790339,42076.55435863229,50837.21376395778
2022-01-12,46326.85805938377,41930.44371437135,50611.90955167838
2022-01-13,45932.38373640184,41756.27354667637,50637.779562185395
